time,source,emotion,emotion_confidence,identity,identity_confidence,verified,face_status,faces_detected,result_image
2026-04-15 10:22:44,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102244_910580.jpg
2026-04-15 10:22:47,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102247_044945.jpg
2026-04-15 10:22:49,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102249_192637.jpg
2026-04-15 10:22:51,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102251_417732.jpg
2026-04-15 10:22:53,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102253_506639.jpg
2026-04-15 10:22:55,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102255_659250.jpg
2026-04-15 10:22:57,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102257_735200.jpg
2026-04-15 10:22:59,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102259_762617.jpg
2026-04-15 10:23:01,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102301_858201.jpg
2026-04-15 10:23:04,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102304_090930.jpg
2026-04-15 10:23:06,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102306_136869.jpg
2026-04-15 10:23:08,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102308_242433.jpg
2026-04-15 10:23:10,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102310_637044.jpg
2026-04-15 10:23:12,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102312_856443.jpg
2026-04-15 10:23:14,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102314_945796.jpg
2026-04-15 10:23:16,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102316_987049.jpg
2026-04-15 10:23:19,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102319_071045.jpg
2026-04-15 10:23:21,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102321_184042.jpg
2026-04-15 10:23:23,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102323_234597.jpg
2026-04-15 10:23:25,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102325_518155.jpg
2026-04-15 10:23:27,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102327_578929.jpg
2026-04-15 10:23:29,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102329_680448.jpg
2026-04-15 10:23:31,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102331_712883.jpg
2026-04-15 10:23:33,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102333_750729.jpg
